sep=,
"publisher_email","page_url","page_version","publisher_type","publisher_team","cta_url_domain","pbase_line","pbase_code","version_note","page_note","stats_access","stats_view","stats_addtocart","stats_initcheckout","stats_checkout","stats_purchase","stats_access_error","stats_initcheckout_error","stats_checkout_error","stats_revenue","stats_purchase_abandon","stats_revenue_abandon","stats_taken_amount","stats_cost_total","stats_tax_amount"
Total: 198,,,,,,,,,,87585,76457,17156,12467,10350,8903,426,,,419462,968,34061,199257,143377,24347
iho@crossian.us,https://bragoddess.com/activabra?--content-version=445xdz8fyie3mz4mvo8zib8jo_0,A,RMKT,,bragoddess.com,Bra,Activa Bra 2.0,Version note 1,"v4.0 - persona già, upsell 10% + 5%",4633,4105,656,470,370,324,7,,,12646,31,887,6650,3687,703
iho@crossian.us,https://bragoddess.com/aerisoft?--content-version=5vzrqu9ut5fgqylygy7mucfpf_0,A,RMKT,,bragoddess.com,Bra,AeriSoft,Version note 1,v1.3.1 AeriSoft enhanced variant,926,861,224,172,147,122,2,,,4437,22,597,2105,1511,231
iho@crossian.us,https://bragoddess.com/aerisoft?--content-version=5vzrqu9ut5fgqylygy7mucfpf_1,B,RMKT,,bragoddess.com,Bra,AeriSoft,Version note 2,v5.0 AeriSoft theme hồng/ Spring,64,134,36,21,16,14,,,,565,0,0,255,205,30.8
iho@crossian.us,https://bragoddess.com/airylace?--content-version=6e8nc6ivoul3blv2t4n1yx5yg_0,A,RMKT,,bragoddess.com,Bra,AiryLace 2,Version note 1,V3.3 -RMKT ONLY,8,,,,,,,,,,,,,,
iho@crossian.us,https://bragoddess.com/amberlift?--content-version=577fefgq97czrx07h5b094nfg_0,A,RMKT,,bragoddess.com,Bra,AmberLift2,Version note 1,v1.0 - For RMKT,3,,,,,,,,,,,,,,
iho@crossian.us,https://bragoddess.com/amourlift?--content-version=3c1jngat0uvdc5pk8xov4l94p_0,A,RMKT,,bragoddess.com,Bra,AmourLift,Version note 1,v1.6 - add banner Mother's Day Sale,1397,1204,193,125,98,81,6,,,4368,8,260,2431,1166,262
iho@crossian.us,https://bragoddess.com/bloomyfit?--content-version=33xb8rywvlzhuxah8tl45xkzf_0,A,RMKT,,bragoddess.com,Panties,BloomyFit,Version note 1,v9.0 - Adding LEAK PROOF feature,14,,,,,,,,,,,,,,
iho@crossian.us,https://bragoddess.com/bloomysmooth?--content-version=61xsw123aa9ymel1ljzqqwoj3_0,A,RMKT,,bragoddess.com,Panties,BloomySmooth,Version note 1,"v1.1 Fake Contract Size 3XL, 4XL",4,,,,,,,,,,,,,,
iho@crossian.us,https://bragoddess.com/braubra?--content-version=52mvfcct29p1h008d9dhrhjoc_0,A,RMKT,,bragoddess.com,Bra,BrauBra3,Version note 1,v1.0 - For RMKT,18,,,,,,,,,,,,,,
iho@crossian.us,https://bragoddess.com/breezybloom?--content-version=4o75b1wh90xto3omdlgeypyui_0,A,RMKT,,bragoddess.com,Bra,BreezyBloom2,Version note 1,v5.0 (graphic + size chart 10.6.23),49,,,,,,,,,,,,,,
iho@crossian.us,https://bragoddess.com/breezypush?--content-version=1r2x78ji5th4lc00k7rpwbt8u_0,A,RMKT,,bragoddess.com,Bra,BreezyPush,Version note 1,Ver 2.1 - Ver 2.0 full size 7XL,16,,,,,,,,,,,,,,
iho@crossian.us,https://bragoddess.com/bustella?--content-version=135lwmu86hm1pihin9f10gcju_0,A,RMKT,,bragoddess.com,Bra,Bustella,Version note 1,v1.2 - enhance bảng size,765,769,237,160,127,115,4,,,4012,7,180,1831,1400,234
iho@crossian.us,https://bragoddess.com/camilace?--content-version=4bvyfqembswvyuuyxk755sy9d_0,A,RMKT,,bragoddess.com,Bra,CamiLace,Version note 1,v2.3 - Graphic optimization (new model) (Quantity),3,,,,,,,,,,,,,,
iho@crossian.us,https://bragoddess.com/comfortever?--content-version=q5h1455rbhweytvq704ddlbz_0,A,RMKT,,bragoddess.com,Bra,ComfortEver,Version note 1,V1.5.1 - gif to vid updated,1,,,,,,,,,,,,,,
iho@crossian.us,https://bragoddess.com/cupipads?--content-version=52udxq9engaf2zggayinm50pe_0,A,RMKT,,bragoddess.com,Bra,CupiPads,Version note 1,Q6.4 - New variant images,4,,,,,,1,,,,,,,,
