sep=,
"publisher_email","page_url","page_version","publisher_type","publisher_team","cta_url_domain","pbase_line","pbase_code","version_note","page_note","stats_access","stats_view","stats_addtocart","stats_initcheckout","stats_checkout","stats_purchase","stats_access_error","stats_initcheckout_error","stats_checkout_error","stats_revenue","stats_purchase_abandon","stats_revenue_abandon","stats_taken_amount","stats_cost_total","stats_tax_amount"
Total: 190,,,,,,,,,,56930,50368,9683,7054,5681,4764,160,,,218403,604,20350,103161,75736,13163
iho@crossian.us,https://bragoddess.com/activabra?--content-version=445xdz8fyie3mz4mvo8zib8jo_0,A,RMKT,,bragoddess.com,Bra,Activa Bra 2.0,Version note 1,"v4.0 - persona già, upsell 10% + 5%",917,920,226,166,134,111,4,,,3952,14,501,2036,1196,229
iho@crossian.us,https://bragoddess.com/activabra?--content-version=445xdz8fyie3mz4mvo8zib8jo_1,B,RMKT,,bragoddess.com,Bra,Activa Bra 2.0,Version note 2,v5.0 - Real sample (no seasonal),5,7,,,,,,,,,,,,,
iho@crossian.us,https://bragoddess.com/aerisoft?--content-version=5vzrqu9ut5fgqylygy7mucfpf_0,A,RMKT,,bragoddess.com,Bra,AeriSoft,Version note 1,v1.3.1 AeriSoft enhanced variant,437,383,48,39,30,24,,,,1069,5,147,581,297,64.9
iho@crossian.us,https://bragoddess.com/airylace?--content-version=6e8nc6ivoul3blv2t4n1yx5yg_0,A,RMKT,,bragoddess.com,Bra,AiryLace 2,Version note 1,V3.3 -RMKT ONLY,9,,,,,,,,,,,,,,
iho@crossian.us,https://bragoddess.com/amberlift?--content-version=577fefgq97czrx07h5b094nfg_0,A,RMKT,,bragoddess.com,Bra,AmberLift2,Version note 1,v1.0 - For RMKT,5,,,,,,,,,,,,,,
iho@crossian.us,https://bragoddess.com/bloomyfit?--content-version=33xb8rywvlzhuxah8tl45xkzf_0,A,RMKT,,bragoddess.com,Panties,BloomyFit,Version note 1,v9.0 - Adding LEAK PROOF feature,43,,,,,,,,,,,,,,
iho@crossian.us,https://bragoddess.com/bloomysmooth?--content-version=61xsw123aa9ymel1ljzqqwoj3_0,A,RMKT,,bragoddess.com,Panties,BloomySmooth,Version note 1,"v1.1 Fake Contract Size 3XL, 4XL",6,,,,,,,,,,,,,,
iho@crossian.us,https://bragoddess.com/braubra?--content-version=52mvfcct29p1h008d9dhrhjoc_0,A,RMKT,,bragoddess.com,Bra,BrauBra3,Version note 1,v1.0 - For RMKT,35,,,,,,1,,,,,,,,
iho@crossian.us,https://bragoddess.com/breezybloom?--content-version=4o75b1wh90xto3omdlgeypyui_0,A,RMKT,,bragoddess.com,Bra,BreezyBloom2,Version note 1,v5.0 (graphic + size chart 10.6.23),156,,,,,,,,,,,,,,
iho@crossian.us,https://bragoddess.com/breezypush?--content-version=1r2x78ji5th4lc00k7rpwbt8u_0,A,RMKT,,bragoddess.com,Bra,BreezyPush,Version note 1,Ver 2.1 - Ver 2.0 full size 7XL,10,,,,,,,,,,,,,,
iho@crossian.us,https://bragoddess.com/bustella?--content-version=135lwmu86hm1pihin9f10gcju_0,A,RMKT,,bragoddess.com,Bra,Bustella,Version note 1,v1.2 - enhance bảng size,1581,1477,399,268,210,165,7,,,6435,32,716,3221,2037,379
iho@crossian.us,https://bragoddess.com/camilace?--content-version=4bvyfqembswvyuuyxk755sy9d_0,A,RMKT,,bragoddess.com,Bra,CamiLace,Version note 1,v2.3 - Graphic optimization (new model) (Quantity),3,1,,,,,,,,,,,,,
iho@crossian.us,https://bragoddess.com/cozilady?--content-version=1371ob3ng1xgu9sy3bn61f105_0,A,RMKT,,bragoddess.com,Bra,CoziLady,Version note 1,"v1.1 - new USP, bảng size sau nghiệm thu",2,,,,,,,,,,,,,,
iho@crossian.us,https://bragoddess.com/cupipads?--content-version=52udxq9engaf2zggayinm50pe_0,A,RMKT,,bragoddess.com,Bra,CupiPads,Version note 1,Q6.4 - New variant images,43,,,,,,,,,,,,,,
iho@crossian.us,https://bragoddess.com/curvylace?--content-version=5t77f4paebsfem7n34n7a6mf_0,A,RMKT,,bragoddess.com,Bra,CurvyLace,Version note 1,v3.0 - real sample,81,93,33,27,23,17,,,,834,5,106,406,280,47.9
iho@crossian.us,https://bragoddess.com/cushycurves?--content-version=7in5n5my0t56sfs214umx7t5n_0,A,RMKT,,bragoddess.com,Bra,CushyCurves,Version note 1,V2.0 - New USP Graphics,122,,,,,,,,,,,,,,
iho@crossian.us,https://bragoddess.com/daintybra?--content-version=6f5rp6r6nh57hfx0s2k05nvb3_0,A,RMKT,,bragoddess.com,Bra,DaintyBra3,Version note 1,v3 - 3.1: Optimise USP image from v3.0,12,,,,,,,,,,,,,,
iho@crossian.us,https://bragoddess.com/daisybra?--content-version=1an7lbxk5t7eebkhhdiuub21k_0,A,RMKT,,bragoddess.com,Bra,Daisy Bra 3,Version note 1,"v3-2.1. No DMCA (Enhance models, variants)",5369,4607,1300,938,759,643,19,,,22728,76,2014,11141,7368,1325
iho@crossian.us,https://bragoddess.com/daisybra_old21nov25?--content-version=4eyyeiz0zq7r52dfsp4kfr5o8_0,A,RMKT,,bragoddess.com,Bra,Daisy Bra 3,Version note 1,"v3-2.1. No DMCA (Enhance models, variants)",2,2,,,,,,,,,,,,,
iho@crossian.us,https://bragoddess.com/daisybra_old21nov25?--content-version=4eyyeiz0zq7r52dfsp4kfr5o8_2,C,RMKT,,bragoddess.com,Bra,Daisy Bra 3,Version note 3,v3-3. New Concept,3,3,,,,,,,,,,,,,
iho@crossian.us,https://bragoddess.com/daisybreezy?--content-version=1mph81uyjsfneh3gzp58aw177_0,A,RMKT,,bragoddess.com,Bra,DaisyBreezy3,Version note 1,v1.0 - For RMKT,7,,,,,,,,,,,,,,
iho@crossian.us,https://bragoddess.com/doveloom?--content-version=cl4x8oppp6mz2mc99ww0gse9_0,A,RMKT,,bragoddess.com,Panties,DoveLoom,Version note 1,v1.0 - NFT,24,1,,,,,1,,,,,,,,
iho@crossian.us,https://bragoddess.com/doveloom?--content-version=cl4x8oppp6mz2mc99ww0gse9_1,B,RMKT,,bragoddess.com,Panties,DoveLoom,Version note 2,v2.0 - USP Optimised,6,7,,,,,,,,,,,,,
iho@crossian.us,https://bragoddess.com/easeblooming?--content-version=39wedemr3ccaxjhbkmpgf5286_0,A,RMKT,,bragoddess.com,Bra,EaseBlooming1,Version note 1,v2.1 - New bra look,1341,1089,301,236,176,140,5,,,5130,27,698,2491,1701,302
iho@crossian.us,https://bragoddess.com/easeblooming?--content-version=39wedemr3ccaxjhbkmpgf5286_1,B,RMKT,,bragoddess.com,Bra,EaseBlooming1,Version note 2,v2.4 - Real Samples,117,259,41,30,28,24,,,,867,2,62.2,426,291,42.1
iho@crossian.us,https://bragoddess.com/elashape?--content-version=6vinaxfacshrc3y00kegv3p61_0,A,RMKT,,bragoddess.com,Shapewear,ElaShape,Version note 1,v6.0 -Revive 29/11/2023,29,,,,,,,,,,,,,,
iho@crossian.us,https://bragoddess.com/elisebra?--content-version=73nkl0nz3cbcqwno6avpxqxsj_0,A,RMKT,,bragoddess.com,Bra,EliseBra2,Version note 1,v4.0 - enhance v1.1,414,434,98,78,60,49,1,,,2030,5,233,1093,582,111
iho@crossian.us,https://bragoddess.com/ellacurve?--content-version=6sxilz8m5iex1w7uxprhhth1l_0,A,RMKT,,bragoddess.com,Bra,EllaCurve3,Version note 1,"v2.10 - v2.7 thêm bảng size cuối USPs, spring sale, theme NFT",267,235,41,24,15,11,1,,,461,2,43.2,239,142,24.0
iho@crossian.us,https://bragoddess.com/ellebloom?--content-version=7kd87fb0wuk8tf3yiwsl1xmgp_0,A,RMKT,,bragoddess.com,Bra,ElleBloom,Version note 1,"v6.1 (size 7, 8XL added) + sale message",997,716,142,113,93,75,2,,,3244,12,431,1700,982,186
iho@crossian.us,https://bragoddess.com/ellielift?--content-version=3j5m0ucwhu0o3gabugtxxgp7q_0,A,RMKT,,bragoddess.com,Bra,EllieLift 2,Version note 1,v2 - v3.2 (real contract - Pin),1,,,,,,1,,,,,,,,
iho@crossian.us,https://bragoddess.com/embraced?--content-version=7dwhmqeyqxuxvc92qcqw2dj16_0,A,RMKT,,bragoddess.com,Bra,Embraced4,Version note 1,v4 - 1.2.1 - copy Embraced2,14,,,,,,,,,,,,,,
iho@crossian.us,https://bragoddess.com/emmabra?--content-version=1hn0mm8gvt96tcl7w7jw39cjy_0,A,RMKT,,bragoddess.com,Bra,EmmaBra 3.1,Version note 1,"v1.2 Emma3.1 - 30-58, A-G",579,427,93,62,47,44,3,,,1713,2,36.2,837,557,107
iho@crossian.us,https://bragoddess.com/evaglowbra?--content-version=l13aiu7u6xv9uqrroxij3eeg_0,A,RMKT,,bragoddess.com,Bra,EvaGlow Bra,Version note 1,v1.3 - winter theme + 3D variant fix,259,223,39,17,14,13,,,,518,1,24.6,280,148,25.9
iho@crossian.us,https://bragoddess.com/exsecret?--content-version=2x1u93qd42v657e0zlka392j0_0,A,RMKT,,bragoddess.com,Bra,ExSecret 4,Version note 1,v4 - 3.0. 45+ models - old version,19,,,,,,,,,,,,,,
iho@crossian.us,https://bragoddess.com/faithbra?--content-version=66jhr394xxrspmngpn71klvyy_0,A,RMKT,,bragoddess.com,Bra,Faith Bra,Version note 1,v2.0. Bảng size nghiệm thu July 7,3,,,,,,,,,,,,,,
iho@crossian.us,https://bragoddess.com/fionabra?--content-version=6z0jmulkn8bmbi9ayy9raaght_0,A,RMKT,,bragoddess.com,Bra,Fiona Bra,Version note 1,v3.1 Fiona Bra (enhanced visuals),395,323,53,35,31,27,,,,1274,1,36.4,678,371,72.6
iho@crossian.us,https://bragoddess.com/fleececozy?--content-version=284a12kvt7za8efukswm4xcmb_0,A,RMKT,,bragoddess.com,Accessories,FleeceCozy,Version note 1,v1.2 - tránh bias sold data của page v1.1 sau khi đặt MOQ,10,,,,,,,,,,,,,,
iho@crossian.us,https://bragoddess.com/fleececozy?--content-version=284a12kvt7za8efukswm4xcmb_1,B,RMKT,,bragoddess.com,Accessories,FleeceCozy,Version note 2,"v2.0 - sửa USP sang hướng comfort, blood circulation",25,49,12,6,7,5,,,,160,1,37.8,97.9,34.1,11.3
iho@crossian.us,https://bragoddess.com/glammere?--content-version=76touyb2422t9r3t2xl0colc2_0,A,RMKT,,bragoddess.com,Accessories,Glammere 2,Version note 1,v8.0 (no DMCA),1,,,,,,,,,,,,,,
iho@crossian.us,https://bragoddess.com/glamorette?--content-version=1fstliqtjkuqshehpjp316grt_0,A,RMKT,,bragoddess.com,Bra,Glamorette 3,Version note 1,v3 - C1.0. New Band-Cup Size chart,236,188,,,,,1,,,,,,,,
iho@crossian.us,https://bragoddess.com/ivylift?--content-version=33qs7tpzunnmc36cfhueb1qoe_0,A,RMKT,,bragoddess.com,Bra,IvyLift,Version note 1,v3.1 - Concept 3.0 & add new sizes 09/2025,352,251,31,23,17,13,,,,533,2,56.8,259,175,33.4
iho@crossian.us,https://bragoddess.com/jennbra?--content-version=6fasleng2ktdtp3a4movov2ru_0,A,RMKT,,bragoddess.com,Bra,JENN BRA2,Version note 1,V1.0 quantity (dup v1.0.3 variant),4,,,,,,1,,,,,,,,
iho@crossian.us,https://bragoddess.com/jessiebra?--content-version=3hcsfdu15mq2qb9bw4xt1veue_0,A,RMKT,,bragoddess.com,Bra,Jessie Bra2,Version note 1,[Quantity] v2.0 - Dup v3.0,35,,,,,,,,,,,,,,
