sep=,
"publisher_email","page_url","page_version","publisher_type","publisher_team","cta_url_domain","pbase_line","pbase_code","version_note","page_note","stats_access","stats_view","stats_addtocart","stats_initcheckout","stats_checkout","stats_purchase","stats_access_error","stats_initcheckout_error","stats_checkout_error","stats_revenue","stats_purchase_abandon","stats_revenue_abandon","stats_taken_amount","stats_cost_total","stats_tax_amount"
Total: 187,,,,,,,,,,71711,62186,11958,8785,7027,5880,218,,,263067,713,23633,123986,91836,15866
iho@crossian.us,https://bragoddess.com/activabra?--content-version=445xdz8fyie3mz4mvo8zib8jo_0,A,RMKT,,bragoddess.com,Bra,Activa Bra 2.0,Version note 1,"v4.0 - persona già, upsell 10% + 5%",2254,1703,304,186,149,120,7,,,5292,15,391,3077,1289,315
iho@crossian.us,https://bragoddess.com/activabra?--content-version=445xdz8fyie3mz4mvo8zib8jo_1,B,RMKT,,bragoddess.com,Bra,Activa Bra 2.0,Version note 2,v5.0 - Real sample (no seasonal),71,154,21,9,5,4,,,,208,0,0,121,48.8,14.4
iho@crossian.us,https://bragoddess.com/aerisoft?--content-version=5vzrqu9ut5fgqylygy7mucfpf_0,A,RMKT,,bragoddess.com,Bra,AeriSoft,Version note 1,v1.3.1 AeriSoft enhanced variant,293,321,61,36,24,23,1,,,1061,1,13.6,562,307,68.3
iho@crossian.us,https://bragoddess.com/aerisoft_old18dec25?--content-version=umkhu5m201pnshqpd3fgfxta_0,A,RMKT,,bragoddess.com,Bra,AeriSoft,Version note 1,v1.2 AeriSoft fix lại ảnh variant,1,1,,,,,,,,,,,,,
iho@crossian.us,https://bragoddess.com/airylace?--content-version=6e8nc6ivoul3blv2t4n1yx5yg_0,A,RMKT,,bragoddess.com,Bra,AiryLace 2,Version note 1,V3.3 -RMKT ONLY,18,,,,,,,,,,,,,,
iho@crossian.us,https://bragoddess.com/amberlift?--content-version=577fefgq97czrx07h5b094nfg_0,A,RMKT,,bragoddess.com,Bra,AmberLift2,Version note 1,v1.0 - For RMKT,2,,,,,,,,,,,,,,
iho@crossian.us,https://bragoddess.com/bloomyfit?--content-version=33xb8rywvlzhuxah8tl45xkzf_0,A,RMKT,,bragoddess.com,Panties,BloomyFit,Version note 1,v9.0 - Adding LEAK PROOF feature,44,,,,,,,,,,,,,,
iho@crossian.us,https://bragoddess.com/bloomysmooth?--content-version=61xsw123aa9ymel1ljzqqwoj3_0,A,RMKT,,bragoddess.com,Panties,BloomySmooth,Version note 1,"v1.1 Fake Contract Size 3XL, 4XL",12,,,,,,,,,,,,,,
iho@crossian.us,https://bragoddess.com/braubra?--content-version=52mvfcct29p1h008d9dhrhjoc_0,A,RMKT,,bragoddess.com,Bra,BrauBra3,Version note 1,v1.0 - For RMKT,45,,,,,,,,,,,,,,
