sep=,
"publisher_email","page_url","page_version","publisher_type","publisher_team","cta_url_domain","pbase_line","pbase_code","version_note","page_note","stats_access","stats_view","stats_addtocart","stats_initcheckout","stats_checkout","stats_purchase","stats_access_error","stats_initcheckout_error","stats_checkout_error","stats_revenue","stats_purchase_abandon","stats_revenue_abandon","stats_taken_amount","stats_cost_total","stats_tax_amount"
Total: 188,,,,,,,,,,101292,86456,16148,11952,9702,8244,241,1,,355904,950,29603,164990,130256,21165
iho@crossian.us,https://bragoddess.com/activabra?--content-version=445xdz8fyie3mz4mvo8zib8jo_0,A,RMKT,,bragoddess.com,Bra,Activa Bra 2.0,Version note 1,"v4.0 - persona già, upsell 10% + 5%",2670,2285,458,308,242,208,5,,,7963,21,553,4193,2378,460
iho@crossian.us,https://bragoddess.com/aerisoft?--content-version=umkhu5m201pnshqpd3fgfxta_0,A,RMKT,,bragoddess.com,Bra,AeriSoft,Version note 1,v1.2 AeriSoft fix lại ảnh variant,161,256,57,46,36,33,1,,,1550,1,41.4,853,435,87.7
iho@crossian.us,https://bragoddess.com/aerisoft?--content-version=umkhu5m201pnshqpd3fgfxta_1,B,RMKT,,bragoddess.com,Bra,AeriSoft,Version note 2,v3.0 AeriSoft Fall Theme,1,1,,,,,,,,,,,,,
iho@crossian.us,https://bragoddess.com/aerisoft?--content-version=umkhu5m201pnshqpd3fgfxta_2,C,RMKT,,bragoddess.com,Bra,AeriSoft,Version note 3,v4.1.1 AeriSoft Bra đen theme Hồng,6,12,1,1,,,,,,,,,,,
iho@crossian.us,https://bragoddess.com/airylace?--content-version=6e8nc6ivoul3blv2t4n1yx5yg_0,A,RMKT,,bragoddess.com,Bra,AiryLace 2,Version note 1,V3.3 -RMKT ONLY,22,,,,,,,,,,,,,,
iho@crossian.us,https://bragoddess.com/amberlift?--content-version=577fefgq97czrx07h5b094nfg_0,A,RMKT,,bragoddess.com,Bra,AmberLift2,Version note 1,v1.0 - For RMKT,3,,,,,,,,,,,,,,
iho@crossian.us,https://bragoddess.com/bloomyfit?--content-version=33xb8rywvlzhuxah8tl45xkzf_0,A,RMKT,,bragoddess.com,Panties,BloomyFit,Version note 1,v9.0 - Adding LEAK PROOF feature,60,,,,,,,,,,,,,,
iho@crossian.us,https://bragoddess.com/bloomysmooth?--content-version=61xsw123aa9ymel1ljzqqwoj3_0,A,RMKT,,bragoddess.com,Panties,BloomySmooth,Version note 1,"v1.1 Fake Contract Size 3XL, 4XL",3,,,,,,,,,,,,,,
iho@crossian.us,https://bragoddess.com/braubra?--content-version=52mvfcct29p1h008d9dhrhjoc_0,A,RMKT,,bragoddess.com,Bra,BrauBra3,Version note 1,v1.0 - For RMKT,47,,,,,,,,,,,,,,
iho@crossian.us,https://bragoddess.com/breezybloom?--content-version=4o75b1wh90xto3omdlgeypyui_0,A,RMKT,,bragoddess.com,Bra,BreezyBloom2,Version note 1,v5.0 (graphic + size chart 10.6.23),155,,,,,,1,,,,,,,,
iho@crossian.us,https://bragoddess.com/breezypush?--content-version=1r2x78ji5th4lc00k7rpwbt8u_0,A,RMKT,,bragoddess.com,Bra,BreezyPush,Version note 1,Ver 2.1 - Ver 2.0 full size 7XL,15,,,,,,,,,,,,,,
iho@crossian.us,https://bragoddess.com/breezypush?--content-version=1r2x78ji5th4lc00k7rpwbt8u_1,B,RMKT,,bragoddess.com,Bra,BreezyPush,Version note 2,v3.0 (daily concept),1,1,,,,,,,,,,,,,
iho@crossian.us,https://bragoddess.com/bustella?--content-version=135lwmu86hm1pihin9f10gcju_0,A,RMKT,,bragoddess.com,Bra,Bustella,Version note 1,v1.2 - enhance bảng size,7026,5409,1149,797,659,577,17,,,21895,56,1623,10726,7226,1309
iho@crossian.us,https://bragoddess.com/bustella_old17oct25?--content-version=3t6h30lbyd5hs8pnqomsnyure_0,A,RMKT,,bragoddess.com,Bra,Bustella,Version note 1,v1.2 - enhance bảng size,36,37,,,2,0,,,,0,2,61.8,0,0,0.340
